year;airport;country;city;q1;q2;q3;q4;total;is_domestic;route_type;continent;origin_airport;origin_lat;origin_lon;dest_lat;dest_lon
2024;Stockholm Arlanda Airport;Italy;Turin;12132.0;9031.0;8837.0;2626.0;32626;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;45.0677551;7.6824892
2024;Stockholm Arlanda Airport;Italy;Venice;9064.0;11287.0;13563.0;9256.0;43170;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;45.4046171;12.3105232
2024;Stockholm Arlanda Airport;Italy;Verona;1730.0;;;;1730;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;45.4424977;10.9857377
2024;Stockholm Arlanda Airport;Japan;Osaka;321.0;;;;321;False;International;Asia;Stockholm Arlanda;59.6519;17.9186;34.6937569;135.5014539
2024;Stockholm Arlanda Airport;Japan;Tokyo;1277.0;;;;1277;False;International;Asia;Stockholm Arlanda;59.6519;17.9186;35.6768601;139.7638947
2024;Stockholm Arlanda Airport;Jordan;Amman;6201.0;7338.0;8248.0;1914.0;23701;False;International;Asia;Stockholm Arlanda;59.6519;17.9186;31.9515694;35.9239625
2024;Stockholm Arlanda Airport;Kazakhstan;Nur-Sultan;;73.0;;158.0;231;False;International;Asia;Stockholm Arlanda;59.6519;17.9186;51.1159933;71.4677059
2024;Stockholm Arlanda Airport;Kosovo;Pristina;;1327.0;4855.0;337.0;6519;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;42.6638771;21.1640849
2024;Stockholm Arlanda Airport;Kyrgyzstan;Bishkek;;;;155.0;155;False;International;Asia;Stockholm Arlanda;59.6519;17.9186;42.8761424;74.6036724
2024;Stockholm Arlanda Airport;Latvia;Riga;50111.0;87003.0;105105.0;81401.0;323620;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;56.9493977;24.1051846
2024;Stockholm Arlanda Airport;Lebanon;Beirut;2403.0;4532.0;2666.0;;9601;False;International;Asia;Stockholm Arlanda;59.6519;17.9186;33.8892265;35.5025585
2024;Stockholm Arlanda Airport;Lithuania;Kaunas;14946.0;21524.0;24606.0;19631.0;80707;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;54.8982139;23.9044817
2024;Stockholm Arlanda Airport;Lithuania;Vilnius;20016.0;40457.0;37386.0;34284.0;132143;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;54.6870458;25.2829111
2024;Stockholm Arlanda Airport;Luxembourg;Luxembourg;3764.0;5289.0;5695.0;4463.0;19211;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;49.6112768;6.129799
2024;Stockholm Arlanda Airport;Malta;Valetta;9907.0;9694.0;10879.0;10478.0;40958;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;35.8989979;14.5136607
2024;Stockholm Arlanda Airport;Mexico;Cancun;5564.0;1031.0;;4259.0;10854;False;International;Americas;Stockholm Arlanda;59.6519;17.9186;21.1527467;-86.8425761
2024;Stockholm Arlanda Airport;Mongolia;Ulaanbaatar;;103.0;;;103;False;International;Asia;Stockholm Arlanda;59.6519;17.9186;47.9184676;106.9177016
2024;Stockholm Arlanda Airport;Montenegro;Tivat;;1084.0;10751.0;;11835;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;42.4303762;18.6988104
2024;Stockholm Arlanda Airport;Morocco;Agadir;3113.0;;;4917.0;8030;False;International;Africa;Stockholm Arlanda;59.6519;17.9186;30.4205162;-9.5838532
2024;Stockholm Arlanda Airport;Morocco;Marrakech;12883.0;11244.0;9446.0;12442.0;46015;False;International;Africa;Stockholm Arlanda;59.6519;17.9186;31.6258257;-7.9891608
2024;Stockholm Arlanda Airport;Netherlands;Amsterdam;195277.0;241483.0;228516.0;228753.0;894029;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;52.3730796;4.8924534
2024;Stockholm Arlanda Airport;Netherlands;Eindhoven;;;167.0;;167;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;51.4485569;5.4501225
2024;Stockholm Arlanda Airport;Netherlands;Groningen;;;;103.0;103;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;53.2190652;6.5680077
2024;Stockholm Arlanda Airport;Nigeria;Abuja;;;;10.0;10;False;International;Africa;Stockholm Arlanda;59.6519;17.9186;9.0643305;7.4892974
2024;Stockholm Arlanda Airport;Norway;Alta;;48.0;;;48;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;69.9666046;23.2733282
2024;Stockholm Arlanda Airport;Norway;Bergen;9531.0;41915.0;59530.0;19814.0;130790;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;60.3943055;5.3259192
2024;Stockholm Arlanda Airport;Norway;Bodö;;8.0;;;8;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;67.2844313;14.3817503
2024;Stockholm Arlanda Airport;Norway;Evenes;101.0;;48.0;;149;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;68.4968608;16.9069678
2024;Stockholm Arlanda Airport;Norway;Kristiansund;;;;326.0;326;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;63.2168194;7.545259
2024;Stockholm Arlanda Airport;Norway;Longyearbyen;;269.0;;;269;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;78.2231558;15.6463656
2024;Stockholm Arlanda Airport;Norway;Oslo;222688.0;313080.0;297018.0;267422.0;1100208;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;59.9133301;10.7389701
2024;Stockholm Arlanda Airport;Norway;Stavanger;100.0;;;;100;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;58.9699675;5.7318101
2024;Stockholm Arlanda Airport;Norway;Tromsö;12881.0;6092.0;10393.0;15886.0;45252;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;69.6516345;18.9558585
2024;Stockholm Arlanda Airport;Norway;Trondheim;12062.0;17914.0;14150.0;14872.0;58998;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;63.4304475;10.3952118
2024;Stockholm Arlanda Airport;Pakistan;Islamabad;;;6.0;;6;False;International;Asia;Stockholm Arlanda;59.6519;17.9186;33.6938118;73.0651511
2024;Stockholm Arlanda Airport;Poland;Gdansk;65901.0;90695.0;104399.0;84029.0;345024;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;54.4288032;18.798327
2024;Stockholm Arlanda Airport;Poland;Gdynia;8.0;;;;8;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;54.5164982;18.5402738
2024;Stockholm Arlanda Airport;Poland;Katowice;;162.0;;181.0;343;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;50.2137315;19.0058848
2024;Stockholm Arlanda Airport;Poland;Krakow;28708.0;47482.0;47152.0;37809.0;161151;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;50.0469432;19.9971534
2024;Stockholm Arlanda Airport;Poland;Lublin;;;;4.0;4;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;51.2181945;22.5546776
2024;Stockholm Arlanda Airport;Poland;Nowy Dwor Mazowiecki;20175.0;26274.0;27894.0;9682.0;84025;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;52.4306508;20.7154712
2024;Stockholm Arlanda Airport;Poland;Poznan;6763.0;11837.0;15130.0;10265.0;43995;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;52.4006632;16.9197326
2024;Stockholm Arlanda Airport;Poland;Rzeszow;;30.0;;5.0;35;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;50.013319;22.0161677
2024;Stockholm Arlanda Airport;Poland;Warsaw;34962.0;43732.0;42091.0;46549.0;167334;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;52.2319581;21.0067249
2024;Stockholm Arlanda Airport;Poland;Wroclaw;;11981.0;14842.0;3071.0;29894;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;51.1089776;17.0326689
2024;Stockholm Arlanda Airport;Portugal;Faro;10720.0;18232.0;16360.0;20211.0;65523;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;37.0162944;-7.935182
2024;Stockholm Arlanda Airport;Portugal;Funchal;4865.0;176.0;;7918.0;12959;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;32.6496497;-16.9086783
